Company,Date,Open,High,Low,Close,Adj Close,Volume,Inflation_Index,CPI,GDP
MSFT,7/1/03,27.45999908,28.00499916,27.34000015,27.89999962,17.16860962,80517400,1.64,183.9,11566.669
MSFT,8/1/03,27.68499947,27.77499962,27.05500031,27.12000084,16.68861961,64566000,2.04,184.6,11566.669
MSFT,10/1/03,27.54999924,28.14999962,27.45000076,27.95999908,17.20552254,67730200,2,185,11772.234
MSFT,1/13/03,28.26000023,28.375,27.88500023,28.19499969,17.3501358,60817800,1.77,181.7,11174.129
MSFT,1/14/03,28.16500092,28.5,28.09499931,28.48500061,17.52858925,54206400,1.76,181.7,11174.129
MSFT,1/15/03,28.5,28.65999985,28.09499931,28.13500023,17.31321335,59622600,1.8,181.7,11174.129
MSFT,1/16/03,28.15999985,28.32500076,27.55500031,27.67499924,17.03014565,81371000,1.79,181.7,11174.129
MSFT,1/17/03,26.46999931,26.5,25.65500069,25.72999954,15.8332653,155876000,1.8,181.7,11174.129
MSFT,1/21/03,25.93499947,26.07500076,25.64500046,25.66500092,15.7932663,86159200,1.78,181.7,11174.129
MSFT,1/22/03,25.79500008,26.20000076,25.45499992,25.5,15.6917305,86948000,1.72,181.7,11174.129
MSFT,1/23/03,25.97500038,26.27000046,25.72999954,26.13999939,16.08556366,71374800,1.78,181.7,11174.129
MSFT,1/24/03,26.01499939,26.02499962,24.85000038,24.92499924,15.33789825,103027000,1.8,181.7,11174.129
MSFT,1/27/03,24.65999985,25.29999924,24.20499992,24.58499908,15.12867737,114838600,1.82,181.7,11174.129
MSFT,1/28/03,24.84499931,24.85000038,24.28000069,24.40999985,15.02098751,86151200,1.81,181.7,11174.129
MSFT,1/29/03,24.36499977,25.02000046,23.96500015,24.95499992,15.35636425,106884000,1.85,181.7,11174.129
MSFT,1/30/03,25.07999992,25.08499908,24.09499931,24.12000084,14.84254265,87877400,1.8,181.7,11174.129
MSFT,1/31/03,23.72500038,24.17499924,23.51499939,23.72999954,14.60254192,106858400,1.81,181.7,11174.129
MSFT,4/2/03,23.89999962,23.96999931,23.44000053,23.65999985,14.55946159,81854800,1.83,183.8,11312.766
MSFT,5/2/03,23.91500092,24.26499939,23.36499977,23.47999954,14.44870186,101072000,1.75,183.5,11312.766
MSFT,6/2/03,23.43000031,23.80999947,23.28000069,23.70999908,14.59023285,83312000,1.6,183.7,11312.766
MSFT,7/2/03,23.94000053,23.97500038,23.20499992,23.29000092,14.33178139,75208000,1.6,183.9,11566.669
MSFT,10/2/03,23.39999962,23.76000023,23.27000046,23.69000053,14.57792854,74081400,2.02,185,11772.234
MSFT,12/2/03,23.27499962,23.54999924,23.12999916,23.21999931,14.28871155,71315200,2.33,184.3,11772.234
MSFT,2/13/03,23.20499992,23.55999947,23.06500053,23.49500084,14.45793533,73558200,1.88,183.1,11174.129
MSFT,2/14/03,23.625,24.25,23.38500023,24.14999962,14.86100006,90446400,1.92,183.1,11174.129
MSFT,2/18/03,24.62000084,24.98999977,24.39999962,24.95999908,15.35943604,57415500,1.89,183.1,11174.129
MSFT,2/19/03,24.81999969,24.87999916,24.17000008,24.53000069,15.14337349,46902700,1.89,183.1,11174.129
MSFT,2/20/03,24.77000046,24.87000084,24.10000038,24.13999939,14.90260601,50897200,1.94,183.1,11174.129
MSFT,2/21/03,24.29000092,24.79999924,23.70000076,24.62999916,15.20510006,56853200,1.97,183.1,11174.129
MSFT,2/24/03,24.44000053,24.5,23.84000015,24.06999969,14.85939217,62403700,1.99,183.1,11174.129
MSFT,2/25/03,23.54000092,24.27000046,23.37999916,24.19000053,14.93347549,68113000,1.97,183.1,11174.129
MSFT,2/26/03,24.06999969,24.46999931,23.57999992,23.61000061,14.57541656,57096000,1.94,183.1,11174.129
MSFT,2/27/03,23.89999962,24.20999908,23.29999924,23.57999992,14.55689907,75434300,1.94,183.1,11174.129
MSFT,2/28/03,23.73999977,24.06999969,23.54999924,23.70000076,14.63097572,56585400,1.94,183.1,11174.129
MSFT,3/3/03,24.02000046,24.12000084,23.39999962,23.54000092,14.53221035,50653500,1.91,184.2,11174.129
MSFT,4/3/03,23.57999992,23.65999985,23.05999947,23.06999969,14.24204922,56605700,1.81,183.8,11312.766
MSFT,6/3/03,23.17000008,23.5,23.12999916,23.27000046,14.36552143,54607600,1.58,183.7,11312.766
MSFT,7/3/03,22.95000076,23.79000092,22.89999962,23.55999947,14.54454708,66167600,1.58,183.9,11566.669
MSFT,10/3/03,23.30999947,23.45999908,22.88999939,22.95000076,14.16797161,48413600,2.05,185,11772.234
MSFT,11/3/03,23.05999947,23.26000023,22.76000023,22.79999924,14.0753727,53990700,2.43,184.5,11772.234
MSFT,12/3/03,22.80999947,23.44000053,22.54999924,23.38999939,14.43959427,72379500,2.33,184.3,11772.234
MSFT,3/13/03,23.71999931,24.73999977,23.44000053,24.67000008,15.22980118,80701300,2.01,184.2,11174.129
MSFT,3/14/03,24.68000031,24.95999908,24.26000023,24.86000061,15.34709644,75451400,1.83,184.2,11174.129
MSFT,3/17/03,24.52000046,25.95000076,24.32999992,25.93000031,16.00765038,100983800,1.85,184.2,11174.129
MSFT,3/18/03,25.88999939,26.04000092,25.5,26.04000092,16.07555962,78108800,1.83,184.2,11174.129
MSFT,3/19/03,25.97999954,26.43000031,25.73999977,26.31999969,16.24841309,73652100,1.83,184.2,11174.129
MSFT,3/20/03,26.02000046,26.52000046,25.67000008,26.25,16.20519257,71798500,1.81,184.2,11174.129
MSFT,3/21/03,26.75,26.79999924,26.03000069,26.56999969,16.40274811,85586800,1.82,184.2,11174.129
MSFT,3/24/03,25.54999924,25.93000031,25.18000031,25.29000092,15.61254692,61105200,1.8,184.2,11174.129
MSFT,3/25/03,25.60000038,25.75,25.03000069,25.48999977,15.73601627,63595100,1.8,184.2,11174.129
MSFT,3/26/03,25.45999908,25.62000084,25.23999977,25.25,15.58785248,51673600,1.81,184.2,11174.129
MSFT,3/27/03,24.94000053,25.26000023,24.59000015,25.04000092,15.45822048,60043300,1.85,184.2,11174.129
MSFT,3/28/03,24.67000008,25.10000038,24.60000038,24.67000008,15.22980118,39584600,1.83,184.2,11174.129
MSFT,3/31/03,24.25,24.70999908,24.01000023,24.20999908,14.94582272,71384000,1.8,184.2,11174.129
MSFT,2/4/03,25.10000038,26,25.10000038,25.71999931,15.87800312,68282500,1.84,183.1,11174.129
MSFT,3/4/03,25.98999977,26.09000015,25.60000038,25.72999954,15.88418102,57394300,1.88,184.2,11174.129
MSFT,4/4/03,25.76000023,25.79999924,24.93000031,25.09000015,15.48908615,55740600,1.8,183.8,11312.766
MSFT,8/4/03,25.30999947,25.82999992,25.20000076,25.57999992,15.79158115,54132100,2.01,184.6,11566.669
MSFT,9/4/03,25.61000061,25.67000008,24.54000092,24.56999969,15.16806793,76875800,2.2,185.2,11566.669
MSFT,11/4/03,24.88999939,25.18000031,23.95000076,24.20000076,14.93965244,71565500,2.4,184.5,11772.234
MSFT,4/14/03,24.27000046,24.87999916,24,24.76000023,15.28535938,51599600,1.82,183.8,11312.766
MSFT,4/15/03,24.68000031,24.79000092,24.10000038,24.60000038,15.18658352,63399000,1.8,183.8,11312.766
MSFT,4/16/03,25.60000038,25.73999977,24.60000038,24.92000008,15.38413429,86178700,1.76,183.8,11312.766
MSFT,4/17/03,24.77000046,25.54000092,24.73999977,25.5,15.7421875,58356600,1.76,183.8,11312.766
